season,crop,area,production
Whole Year,Coconut,6992,23900000
Whole Year,Dry ginger,352,1120
Whole Year,other oilseeds,133,55
Whole Year,Sugarcane,141,3736
Whole Year,Sweet potato,78,843
Whole Year,Tapioca,160,2108
Kharif,Arecanut,3100,5239
Kharif,Other Kharif pulses,418,199
Kharif,Rice,9718,27033
Whole Year,Cashewnut,81,33
Whole Year,Coconut,7015,25250000
Whole Year,Dry ginger,344,1124
Whole Year,Sugarcane,81,2379
Whole Year,Sweet potato,100,5
Kharif,Rice,6854.3,18995.62
Whole Year,Arecanut,1160,3011.7
Whole Year,Banana,957.57,8582
Whole Year,Black pepper,175,191.14
Whole Year,Cashewnut,40.5,44
Whole Year,Coconut,3575,15400000
Whole Year,Dry chillies,235.72,824.3
Whole Year,Dry ginger,98.66,929
Whole Year,other oilseeds,35.62,21.4
Whole Year,Sugarcane,71.3,1500
Whole Year,Sweet potato,30,240
Whole Year,Tapioca,255,1420
Whole Year,Turmeric,68,408
Autumn,Rice,6791,20118
Autumn,Sugarcane,73.33,889.2
Rabi,Arecanut,1296,2290
Rabi,Arhar/Tur,294.5,90.8
Rabi,Black pepper,168,13.5
Rabi,Cashewnut,84.5,39
Rabi,Dry chillies,254,402
Rabi,Dry ginger,110,1011.84
Rabi,Groundnut,4.75,6.8
Rabi,Maize,86.7,96.4
Rabi,Moong(Green Gram),1168.6,556.55
Rabi,Sunflower,2.9,1.9
Rabi,Sweet potato,109,480
Rabi,Turmeric,68,376.5
Rabi,Urad,1059.5,458.79
Whole Year,Banana,657,7968
Whole Year,Coconut,3668,12700000
Whole Year,Tapioca,186.5,1355
Kharif,Rice,10695.8,31600.82
Whole Year,Arecanut,3105,5267
Whole Year,Banana,1524,10882
Whole Year,Black pepper,487,102.5
Whole Year,Cashewnut,81,24
Whole Year,Coconut,7060,26830000
Whole Year,Dry chillies,239,20.9
Whole Year,Dry ginger,352,1145
Whole Year,other oilseeds,85.1,40.31
Whole Year,Sugarcane,455,13760
Kharif,Rice,10509.37,30760.7
Whole Year,Arecanut,3118,5182
Whole Year,Banana,1530,11558
Whole Year,Black pepper,497,104.37
Whole Year,Cashewnut,116.5,26.14
Whole Year,Coconut,7110,26660000
Whole Year,Dry chillies,340,578
Whole Year,Dry ginger,406,1299.2
Whole Year,other oilseeds,82.09,35.51
Whole Year,Sugarcane,268,2879.52
Kharif,Rice,10681.98,29119.66
Whole Year,Arecanut,3160.67,3975.2
Whole Year,Banana,1912.1,17374.4
Whole Year,Black pepper,570,104.36
Whole Year,Cashewnut,116.5,25.1
Whole Year,Coconut,7156.7,34750000
Whole Year,Dry chillies,340,822.8
Whole Year,Dry ginger,410,1462
Whole Year,other oilseeds,89.3,46.5
Whole Year,Sugarcane,145.26,1560
Kharif,Rice,8683.38,25870.98
Whole Year,Arecanut,3250.78,3058.46
Whole Year,Banana,1656.8,10251.13
Whole Year,Black pepper,656.45,35.95
Whole Year,Cashewnut,118.5,30.22
Whole Year,Coconut,7050.45,26430000
Whole Year,Dry chillies,370.7,877.6
Whole Year,Dry ginger,200,1800
Whole Year,other oilseeds,53.55,34.2
Whole Year,Sugarcane,128.02,2448.2
Whole Year,Sweet potato,131.9,700.35
Whole Year,Tapioca,254.5,1480
Whole Year,Turmeric,81.7,572
Kharif,Rice,921.87,2539.64
Whole Year,Arecanut,2000,2350
Whole Year,Banana,483,4150
Whole Year,Black pepper,413.1,20.18
Whole Year,Cashewnut,79.5,26
Whole Year,Coconut,3483.09,14190000
Whole Year,Dry chillies,124.6,34.7
Whole Year,Dry ginger,100.9,900
Whole Year,other oilseeds,24,14.98
Whole Year,Sugarcane,53.5,999.5
Whole Year,Sweet potato,30.4,220
Whole Year,Tapioca,40,160
Whole Year,Turmeric,10,60
Autumn,Rice,1595.5,3788
Autumn,Sugarcane,67.5,402
Rabi,Arecanut,1912,1900
Rabi,Arhar/Tur,20.5,13.2
Rabi,Black pepper,409,98
Rabi,Cashewnut,15,10.5
Rabi,Dry chillies,128,148
Rabi,Dry ginger,94,828.52
Rabi,Groundnut,15.5,7.6
Rabi,Maize,73,253
Rabi,Moong(Green Gram),29.9,17.85
Rabi,Sunflower,1,0.5
Rabi,Sweet potato,32,235
Rabi,Turmeric,10,105
Rabi,Urad,34,15.05
Whole Year,Banana,360,5517
Whole Year,Coconut,3540,11000000
Whole Year,Tapioca,22.5,220
Kharif,Arhar/Tur,21400,2600
Kharif,Bajra,1400,500
Kharif,Castor seed,1000,100
Kharif,Cotton(lint),7300,9400
Kharif,Dry chillies,3700,7100
Kharif,Groundnut,650800,228400
Kharif,Horse-gram,3300,1000
Kharif,Jowar,10100,10200
Kharif,Korra,2200,700
Kharif,Maize,2800,4900
Kharif,Moong(Green Gram),1300,500
Kharif,Other Kharif pulses,800,100
Kharif,Ragi,6700,11800
Kharif,Rice,35600,75400
Kharif,Sugarcane,700,72900
Kharif,Sunflower,35900,11100
Kharif,Tobacco,200,200
Rabi,Dry chillies,100,100
Rabi,Gram,28000,14800
Rabi,Groundnut,20200,21700
Rabi,Horse-gram,600,200
Rabi,Jowar,18800,9400
Rabi,Korra,100,100
Rabi,Maize,600,2400
Rabi,Ragi,600,1000
Rabi,Rice,18000,37300
Rabi,Sunflower,30100,11100
Rabi,Wheat,300,200
Kharif,Arhar/Tur,27400,9100
Kharif,Bajra,2600,1900
Kharif,Castor seed,3200,1000
Kharif,Cotton(lint),14000,12900
Kharif,Dry chillies,4000,10000
Kharif,Groundnut,755200,867800
Kharif,Horse-gram,2300,900
Kharif,Jowar,3700,5800
Kharif,Korra,4600,3400
Kharif,Maize,3300,6700
Kharif,Moong(Green Gram),2100,1300
Kharif,Other Kharif pulses,2000,300
Kharif,Ragi,7000,14900
Kharif,Rice,38300,96800
Kharif,Sunflower,21300,12200
Rabi,Dry chillies,200,200
Rabi,Gram,26200,25900
Rabi,Groundnut,25900,35800
Rabi,Horse-gram,700,500
Rabi,Jowar,14800,22100
Rabi,Maize,300,1600
Rabi,Ragi,700,1200
Rabi,Rice,26600,63900
Rabi,Sunflower,13500,3300
Rabi,Wheat,400,200
Whole Year,Sugarcane,700,65900
Whole Year,Tobacco,100,100
Kharif,Bajra,1635,889
Kharif,Castor seed,1880,355
Kharif,Cotton(lint),9453,10510
Kharif,Groundnut,694865,249457
Kharif,Horse-gram,1762,495
Kharif,Jowar,11131,14582
Kharif,Maize,3358,9540
Kharif,Masoor,23117,3861
Kharif,Moong(Green Gram),1546,1098
Kharif,Ragi,6215,11467
Kharif,Rice,37991,105082
Kharif,Sesamum,8,2
Kharif,Urad,4,2
Rabi,Bajra,99,54
Rabi,Gram,26835,9365
Rabi,Groundnut,21785,25358
Rabi,Horse-gram,1071,327
Rabi,Jowar,21487,30576
Rabi,Linseed,12,1
Rabi,Maize,455,2203
Rabi,Masoor,98,10
Rabi,Moong(Green Gram),1,1
Rabi,Ragi,734,1180
Rabi,Rice,20258,45669
Rabi,Safflower,881,145
Rabi,Sesamum,10,2
Rabi,Wheat,439,294
Whole Year,Dry chillies,5199,5759
Whole Year,Onion,1770,32364
Whole Year,Sugarcane,884,83126
Kharif,Arhar/Tur,30693,7888
Kharif,Bajra,2477,1449
Kharif,Castor seed,9315,2831
Kharif,Cotton(lint),12025,16128
Kharif,Dry chillies,3755,10146
Kharif,Gram,21,14
Kharif,Groundnut,791559,884963
Kharif,Horse-gram,601,215
Kharif,Jowar,5071,14351
Kharif,Korra,1626,1143
Kharif,Maize,3475,9049
Kharif,Moong(Green Gram),1744,774
Kharif,Onion,1103,15470
Kharif,Other Kharif pulses,3167,559
Kharif,other misc. pulses,1292,214
Kharif,Ragi,6613,16923
Kharif,Rice,39905,117680
Kharif,Samai,21,5
Kharif,Sesamum,5,1
Kharif,Small millets,1647,1148
Kharif,Sunflower,30606,24590
Kharif,Urad,135,8
Rabi,Arhar/Tur,35,9
Rabi,Bajra,317,185
Rabi,Dry chillies,71,81
Rabi,Gram,33858,22685
Rabi,Groundnut,23048,23832
Rabi,Horse-gram,377,80
Rabi,Jowar,15242,16980
Rabi,Korra,96,67
Rabi,Linseed,8,2
Rabi,Maize,399,2148
Rabi,Onion,482,11514
Rabi,Ragi,909,1312
Rabi,Rice,22099,57236
Rabi,Safflower,703,129
Rabi,Small millets,96,67
Rabi,Urad,363,292
Rabi,Wheat,520,297
Whole Year,Arecanut,252,696
Whole Year,Banana,769,11693
Whole Year,Coconut,908,3896970
Whole Year,Coriander,8953,2266
Whole Year,Potato,4,34
Whole Year,Sugarcane,284,25395
Whole Year,Sweet potato,28,379
Whole Year,Tobacco,89,114
Whole Year,Turmeric,39,272
Kharif,Arhar/Tur,27942,7628
Kharif,Bajra,1595,526
Kharif,Castor seed,3191,900
Kharif,Cotton(lint),8552,9055
Kharif,Dry chillies,3765,7127
Kharif,Gram,16,17
Kharif,Groundnut,758700,333828
Kharif,Horse-gram,649,60
Kharif,Jowar,3900,6720
Kharif,Korra,1434,627
Kharif,Maize,2667,7129
Kharif,Moong(Green Gram),1511,730
Kharif,Onion,1165,19232
Kharif,Other Kharif pulses,2496,324
Kharif,Ragi,5124,12405
Kharif,Rice,32878,95609
Kharif,Small millets,1434,627
Kharif,Sunflower,51610,33580
Kharif,Urad,487,176
Rabi,Arhar/Tur,5,1
Rabi,Bajra,27,9
Rabi,Dry chillies,108,168
Rabi,Gram,47894,50145
Rabi,Groundnut,18773,29192
Rabi,Horse-gram,417,226
Rabi,Jowar,15170,17446
Rabi,Linseed,5,1
Rabi,Maize,447,2893
Rabi,Moong(Green Gram),40,12
Rabi,Onion,380,8465
Rabi,Other  Rabi pulses,1,1
Rabi,Ragi,544,725
Rabi,Rice,38119,108906
Rabi,Safflower,3768,528
Rabi,Sesamum,2,1
Rabi,Urad,127,86
Rabi,Wheat,307,213
Whole Year,Arecanut,257,430
Whole Year,Banana,1582,462
Whole Year,Coconut,851,3053700
Whole Year,Coriander,4741,1119
Whole Year,Sugarcane,490,42470
Whole Year,Sweet potato,31,411
Whole Year,Tobacco,111,111
Whole Year,Turmeric,8,40
Kharif,Arhar/Tur,33454,6557
Kharif,Bajra,1925,581
Kharif,Castor seed,2050,416
Kharif,Cotton(lint),7638,7144
Kharif,Dry chillies,2737,6128
Kharif,Groundnut,732262,259953
Kharif,Horse-gram,947,140
Kharif,Jowar,2906,4545
Kharif,Korra,1000,100
Kharif,Maize,3541,3431
Kharif,Moong(Green Gram),1150,174
Kharif,Onion,776,8432
Kharif,Other Kharif pulses,490,47
Kharif,Ragi,5157,12140
Kharif,Rice,29066,66329
Kharif,Small millets,919,180
Kharif,Soyabean,51,0
Kharif,Sunflower,60319,22149
Kharif,Urad,32,2
Rabi,Bajra,129,39
Rabi,Dry chillies,83,161
Rabi,Gram,54264,20186
Rabi,Groundnut,17529,18651
Rabi,Horse-gram,1859,688
Rabi,Jowar,12676,11497
Rabi,Linseed,8,2
Rabi,Maize,1288,8933
Rabi,Moong(Green Gram),4,1
Rabi,Onion,401,7192
Rabi,Ragi,417,517
Rabi,Rice,10960,20462
Rabi,Safflower,2594,340
Rabi,Small millets,10,2
Rabi,Urad,408,236
Rabi,Wheat,362,333
Whole Year,Arecanut,263,379
Whole Year,Banana,19,1006
Whole Year,Beans & Mutter(Vegetable),1,5
Whole Year,Bhindi,126,938
Whole Year,Brinjal,1026,10162
Whole Year,Citrus Fruit,788,4000
Whole Year,Coconut,869,3691149
Whole Year,Coriander,3914,481
Whole Year,Cucumber,18,0
Whole Year,Grapes,111,2075
Whole Year,Mango,3968,26176
Whole Year,Orange,13767,112541
Whole Year,other fibres,132,0
Whole Year,Other Fresh Fruits,2418,1552
Whole Year,Other Vegetables,1767,0
Whole Year,Papaya,1544,201409
Whole Year,Pome Fruit,1207,62789
Whole Year,Potato,2,17
Whole Year,Sugarcane,329,22481
Whole Year,Sweet potato,50,540
Whole Year,Tobacco,51,90
Whole Year,Tomato,3356,16627
Kharif,Arhar/Tur,41178,6959
Kharif,Bajra,2280,378
Kharif,Castor seed,1927,805
Kharif,Cotton(lint),4212,4262
Kharif,Dry chillies,2920,10702
Kharif,Groundnut,670935,187862
Kharif,Horse-gram,492,54
Kharif,Jowar,12487,30830
Kharif,Korra,1245,229
Kharif,Maize,6246,10718
Kharif,Moong(Green Gram),1216,662
Kharif,Onion,846,13250
Kharif,Other Kharif pulses,340,15
Kharif,Ragi,3353,3547
Kharif,Rice,17515,44891
Kharif,Samai,245,83
Kharif,Small millets,1420,299
Kharif,Soyabean,16,18
Kharif,Sunflower,74525,29572
Kharif,Urad,82,51
Rabi,Bajra,113,19
Rabi,Dry chillies,91,190
Rabi,Gram,51461,15438
Rabi,Groundnut,15060,19819
Rabi,Horse-gram,1560,844
Rabi,Jowar,21391,19444
Rabi,Linseed,7,2
Rabi,Maize,1212,6787
Rabi,Moong(Green Gram),22,7
Rabi,Onion,535,11180
Rabi,Other  Rabi pulses,17,3
Rabi,Ragi,614,986
Rabi,Rice,10826,25463
Rabi,Safflower,307,11
Rabi,Small millets,70,13
Rabi,Wheat,414,123
Whole Year,Arecanut,266,189
Whole Year,Banana,36,1302
Whole Year,Bhindi,101,873
Whole Year,Brinjal,1129,19414
Whole Year,Citrus Fruit,706,11959
Whole Year,Coconut,839,3285828
Whole Year,Coriander,5646,610
Whole Year,Cucumber,51,0
Whole Year,Grapes,118,2048
Whole Year,Mango,3935,58337
Whole Year,Orange,13441,224640
Whole Year,Other Fresh Fruits,3241,3586
Whole Year,Other Vegetables,1783,0
Whole Year,Papaya,1381,60038
Whole Year,Pome Fruit,1466,83767
Whole Year,Sugarcane,454,32386
Whole Year,Sweet potato,30,217
Whole Year,Tobacco,20,25
Whole Year,Tomato,2827,17509
Kharif,Arhar/Tur,32752,7893
Kharif,Bajra,1021,403
Kharif,Castor seed,1578,923
Kharif,Cotton(lint),8933,7041
Kharif,Dry chillies,3402,11288
Kharif,Groundnut,857823,684543
Kharif,Horse-gram,421,121
Kharif,Jowar,4300,5693
Kharif,Maize,3495,10031
Kharif,Moong(Green Gram),1464,545
Kharif,Onion,1324,24824
Kharif,Other Kharif pulses,1605,172
Kharif,Ragi,3166,5860
Kharif,Rice,24335,85051
Kharif,Small millets,661,307
Kharif,Soyabean,1131,691
Kharif,Sunflower,56819,34209
Kharif,Urad,76,37
Rabi,Bajra,62,24
Rabi,Dry chillies,155,754
Rabi,Gram,42106,9516
Rabi,Groundnut,14500,21736
Rabi,Horse-gram,226,30
Rabi,Jowar,11871,14269
Rabi,Linseed,34,4
Rabi,Maize,3572,25822
Rabi,Moong(Green Gram),3,1
Rabi,Onion,234,4830
Rabi,Ragi,397,897
Rabi,Rice,9240,21622
Rabi,Safflower,186,10
Rabi,Small millets,36,17
Rabi,Sunflower,27228,9530
Rabi,Wheat,393,88
Whole Year,Banana,324,16897
Whole Year,Coconut,837,6413350
Whole Year,Coriander,2439,290
Whole Year,Potato,2,20
Whole Year,Sugarcane,400,34072
Whole Year,Sweet potato,33,68
Whole Year,Tobacco,49,53
Whole Year,Turmeric,4,36
Kharif,Arhar/Tur,35013,23704
Kharif,Bajra,993,1888
Kharif,Castor seed,2081,1521
Kharif,Cotton(lint),3295,3450
Kharif,Dry chillies,2178,6175
Kharif,Groundnut,877029,362213
Kharif,Horse-gram,410,107
Kharif,Jowar,3759,3879
Kharif,Maize,5958,21538
Kharif,Moong(Green Gram),1078,747
Kharif,Onion,985,17025
Kharif,Other Kharif pulses,1429,301
Kharif,Ragi,2303,4394
Kharif,Rice,25008,69972
Kharif,Small millets,854,455
Kharif,Soyabean,421,232
Kharif,Urad,69,24
Rabi,Bajra,66,125
Rabi,Dry chillies,58,214
Rabi,Gram,49105,48172
Rabi,Groundnut,22006,29752
Rabi,Horse-gram,205,77
Rabi,Jowar,12931,9970
Rabi,Linseed,29,11
Rabi,Maize,1435,10721
Rabi,Moong(Green Gram),16,5
Rabi,Onion,381,9063
Rabi,Ragi,472,752
Rabi,Rice,23142,55587
Rabi,Safflower,162,33
Rabi,Urad,11,7
Rabi,Wheat,297,175
Whole Year,Arecanut,268,214
Whole Year,Banana,303,16231
Whole Year,Coconut,836,3358992
Whole Year,Coriander,2962,900
Whole Year,Sugarcane,227,20612
Whole Year,Sunflower,48677,8401
Whole Year,Sweet potato,23,121
Whole Year,Tobacco,1,1
Whole Year,Turmeric,2,15
Kharif,Arhar/Tur,26244,3543
Kharif,Bajra,620,189
Kharif,Castor seed,899,451
Kharif,Cotton(lint),1506,1940
Kharif,Dry chillies,1754,5658
Kharif,Groundnut,644007,43148
Kharif,Horse-gram,1021,182
Kharif,Jowar,18043,7813
Kharif,Maize,4877,20181
Kharif,Moong(Green Gram),788,98
Kharif,Onion,869,9423
Kharif,Other Kharif pulses,742,135
Kharif,Ragi,2035,3696
Kharif,Rice,22349,67427
Kharif,Small millets,450,48
Kharif,Urad,69,26
Rabi,Bajra,141,43
Rabi,Dry chillies,10,37
Rabi,Gram,83533,30739
Rabi,Groundnut,18104,18991
Rabi,Horse-gram,1779,882
Rabi,Jowar,24944,15440
Rabi,Linseed,15,4
Rabi,Maize,3120,23640
Rabi,Moong(Green Gram),139,52
Rabi,Onion,167,4075
Rabi,Ragi,386,532
Rabi,Rice,10846,31974
Rabi,Safflower,72,28
Rabi,Urad,24,19
Rabi,Wheat,190,50
Whole Year,Arecanut,217,150
Whole Year,Banana,289,14141
Whole Year,Coconut,790,6404076
Whole Year,Coriander,1389,385
Whole Year,Sugarcane,339,30937
Whole Year,Sunflower,60751,23561
Whole Year,Sweet potato,25,137
Whole Year,Turmeric,1,8
Kharif,Arhar/Tur,37000,17000
Kharif,Bajra,1000,3000
Kharif,Castor seed,2000,1000
Kharif,Cotton(lint),3000,2000
Kharif,Dry chillies,2000,9000
Kharif,Groundnut,876000,1102000
Kharif,Jowar,4000,3000
Kharif,Maize,7000,32000
Kharif,Moong(Green Gram),1000,
Kharif,Onion,2000,38000
Kharif,Ragi,2000,4000
Kharif,Rice,30000,95000
Kharif,Sunflower,19000,10000
Rabi,Gram,75000,78000
Rabi,Groundnut,21000,28000
Rabi,Horse-gram,1000,
Rabi,Jowar,12000,8000
Rabi,Maize,6000,48000
Rabi,Rice,14000,37000
Rabi,Sunflower,26000,20000
Kharif,Arhar/Tur,34067,13150
Kharif,Bajra,743,1011
Kharif,Castor seed,886,668
Kharif,Cotton(lint),1611,1241
Kharif,Dry chillies,1574,5506
Kharif,Groundnut,853577,75115
Kharif,Horse-gram,295,165
Kharif,Jowar,1782,2204
Kharif,Maize,6041,20896
Kharif,Moong(Green Gram),629,245
Kharif,Onion,1376,23531
Kharif,Other Kharif pulses,60,30
Kharif,Ragi,1460,3678
Kharif,Rice,30306,94615
Kharif,Small millets,112,88
Kharif,Soyabean,182,248
Rabi,Bajra,26,35
Rabi,Gram,73055,68379
Rabi,Groundnut,16879,24897
Rabi,Horse-gram,205,136
Rabi,Jowar,12501,6951
Rabi,Linseed,14,5
Rabi,Maize,3658,32300
Rabi,Onion,173,4129
Rabi,Ragi,336,630
Rabi,Rice,18416,49815
Rabi,Safflower,113,44
Rabi,Wheat,164,217
Whole Year,Arecanut,325,232
Whole Year,Banana,3603,160939
Whole Year,Coconut,786,7141464
Whole Year,Coriander,3766,1288
Whole Year,Sugarcane,131,12305
Whole Year,Sunflower,42268,26305
Whole Year,Tobacco,99,158
Whole Year,Turmeric,4,40
Kharif,Arhar/Tur,20269,5919
Kharif,Bajra,1722,3167
Kharif,Castor seed,1332,663
Kharif,Cotton(lint),2063,1226
Kharif,Dry chillies,1604,4031
Kharif,Groundnut,510874,113925
Kharif,Horse-gram,5848,3982
Kharif,Jowar,41409,25881
Kharif,Maize,8852,43924
Kharif,Moong(Green Gram),448,115
Kharif,Onion,1663,29811
Kharif,Other Kharif pulses,57,17
Kharif,Ragi,2420,3780
Kharif,Rice,32226,101512
Kharif,Small millets,1045,63
Kharif,Soyabean,24,20
Kharif,Urad,30,9
Rabi,Arhar/Tur,316,92
Rabi,Bajra,45,83
Rabi,Gram,92936,107248
Rabi,Groundnut,19507,28051
Rabi,Horse-gram,4935,3420
Rabi,Jowar,17721,14283
Rabi,Maize,4615,33736
Rabi,Moong(Green Gram),8,3
Rabi,Onion,230,5665
Rabi,Ragi,1122,2458
Rabi,Rapeseed &Mustard,8,
Rabi,Rice,19428,46899
Rabi,Safflower,46,20
Rabi,Urad,17,13
Rabi,Wheat,179,97
Whole Year,Arecanut,356,169
Whole Year,Banana,5010,265981
Whole Year,Coconut,725,4247685
Whole Year,Coriander,4470,1797
Whole Year,Sugarcane,112,9968
Whole Year,Sunflower,55286,33503
Whole Year,Sweet potato,13,77
Whole Year,Tobacco,700,1179
Kharif,Arhar/Tur,66013,11156
Kharif,Bajra,2010,1465
Kharif,Castor seed,4328,3795
Kharif,Cotton(lint),4338,2977
Kharif,Dry chillies,1968,7307
Kharif,Groundnut,814077,446928
Kharif,Horse-gram,655,317
Kharif,Jowar,2606,2069
Kharif,Maize,10726,51174
Kharif,Mesta,32,286
Kharif,Moong(Green Gram),791,251
Kharif,Onion,1620,26924
Kharif,Other Kharif pulses,1,
Kharif,Ragi,1876,3343
Kharif,Rice,34973,102007
Kharif,Small millets,371,345
Kharif,Soyabean,1682,2866
Kharif,Urad,14,6
Rabi,Bajra,5,4
Rabi,Gram,94240,73601
Rabi,Groundnut,19993,34068
Rabi,Horse-gram,1527,860
Rabi,Jowar,13274,8296
Rabi,Maize,4750,43306
Rabi,Moong(Green Gram),83,29
Rabi,Onion,306,8233
Rabi,Ragi,556,831
Rabi,Rice,24828,69394
Rabi,Safflower,45,31
Rabi,Urad,559,299
Rabi,Wheat,131,171
Whole Year,Arecanut,409,182
Whole Year,Banana,4416,223825
Whole Year,Coriander,5323,3604
Whole Year,Potato,21,236
Whole Year,Sugarcane,235,20981
Whole Year,Sunflower,17615,14072
Whole Year,Sweet potato,4,51
Whole Year,Tobacco,174,282
Whole Year,Turmeric,13,102
Kharif,Arhar/Tur,51728,4293
Kharif,Bajra,2614,3307
Kharif,Castor seed,30203,1843
Kharif,Cotton(lint),19299,12069
Kharif,Cowpea(Lobia),846,150
Kharif,Dry chillies,4101,10425
Kharif,Groundnut,733960,174682
Kharif,Horse-gram,1212,645
Kharif,Jowar,7190,7535
Kharif,Maize,25447,63465
Kharif,Mesta,15,117
Kharif,Moong(Green Gram),785,504
Kharif,Onion,2757,39563
Kharif,Other Kharif pulses,3,1
Kharif,other oilseeds,50,1007
Kharif,Ragi,1574,2679
Kharif,Rice,37720,94531
Kharif,Small millets,1092,714
Kharif,Soyabean,1656,2676
Kharif,Urad,32,17
Rabi,Arhar/Tur,17,1
Rabi,Bajra,116,147
Rabi,Cowpea(Lobia),15,12
Rabi,Dry chillies,64,83
Rabi,Gram,68483,38008
Rabi,Groundnut,19876,32696
Rabi,Horse-gram,986,577
Rabi,Jowar,7907,3882
Rabi,Maize,6208,48168
Rabi,Moong(Green Gram),132,79
Rabi,Onion,208,4259
Rabi,Ragi,1695,3421
Rabi,Rice,10948,25542
Rabi,Safflower,84,63
Rabi,Small millets,10,7
Rabi,Urad,446,313
Rabi,Wheat,75,100
Whole Year,Arecanut,541,267
Whole Year,Banana,8000,505176
Whole Year,Coconut,895,7165320
Whole Year,Coriander,2399,1327
Whole Year,Potato,18,181
Whole Year,Sugarcane,410,39186
Whole Year,Sunflower,13277,12094
Whole Year,Sweet potato,2,26
Whole Year,Tobacco,140,226
Whole Year,Turmeric,321,2645
Kharif,Arecanut,558,302
Kharif,Arhar/Tur,56586,8035
Kharif,Bajra,2176,1456
Kharif,Brinjal,451,8211
Kharif,Castor seed,24154,9179
Kharif,Coriander,2,1
Kharif,Cotton(lint),27566,35511
Kharif,Cowpea(Lobia),586,36
Kharif,Dry chillies,2736,5603
Kharif,Grapes,238,7606
Kharif,Groundnut,708708,295531
Kharif,Horse-gram,848,589
Kharif,Jowar,7599,6930
Kharif,Lemon,422,3752
Kharif,Linseed,7,3
Kharif,Maize,22039,63516
Kharif,Mango,6276,57601
Kharif,Moong(Green Gram),481,266
Kharif,Onion,1548,25393
Kharif,Papaya,447,17197
Kharif,Pome Granet,1279,17671
Kharif,Ragi,1589,2336
Kharif,Rice,22056,58691
Kharif,Sapota,2106,41876
Kharif,Small millets,1343,1613
Kharif,Soyabean,919,1671
Kharif,Sugarcane,76,6954
Kharif,Sunflower,6121,5197
Kharif,Tobacco,10,14
Kharif,Tomato,2552,38561
Kharif,Turmeric,65,728
Kharif,Urad,31,29
Rabi,Bajra,20,13
Rabi,Brinjal,251,4570
Rabi,Castor seed,232,88
Rabi,Coriander,2606,1631
Rabi,Cotton(lint),77,99
Rabi,Cowpea(Lobia),81,74
Rabi,Dry chillies,70,159
Rabi,Gram,89676,77301
Rabi,Groundnut,20987,34419
Rabi,Horse-gram,1997,1322
Rabi,Jowar,5795,3141
